Date,Visitor,G,Home,G,,Att.,LOG,Notes
5/15/2021,Boston Bruins,2,Washington Capitals,3,OT,5333,2:58,
5/16/2021,Tampa Bay Lightning,5,Florida Panthers,4,,9646,2:47,
5/16/2021,Minnesota Wild,1,Vegas Golden Knights,0,OT,8683,2:50,
5/16/2021,New York Islanders,4,Pittsburgh Penguins,3,OT,4672,3:09,
5/17/2021,Nashville Predators,2,Carolina Hurricanes,5,,12000,2:45,
5/17/2021,Boston Bruins,4,Washington Capitals,3,OT,5333,2:53,
5/17/2021,St. Louis Blues,1,Colorado Avalanche,4,,7741,2:34,
5/18/2021,Tampa Bay Lightning,3,Florida Panthers,1,,9646,2:32,
5/18/2021,New York Islanders,1,Pittsburgh Penguins,2,,9344,2:28,
5/18/2021,Minnesota Wild,1,Vegas Golden Knights,3,,8683,2:33,
5/19/2021,Washington Capitals,2,Boston Bruins,3,2OT,4565,3:54,
5/19/2021,Nashville Predators,0,Carolina Hurricanes,3,,12000,2:36,
5/19/2021,St. Louis Blues,3,Colorado Avalanche,6,,7739,2:29,
5/19/2021,Winnipeg Jets,4,Edmonton Oilers,1,,,2:22,
5/20/2021,Pittsburgh Penguins,5,New York Islanders,4,,6800,2:48,
5/20/2021,Montreal Canadiens,2,Toronto Maple Leafs,1,,,2:44,
5/20/2021,Florida Panthers,6,Tampa Bay Lightning,5,OT,9508,3:05,
5/20/2021,Vegas Golden Knights,5,Minnesota Wild,2,,4500,2:30,
5/21/2021,Washington Capitals,1,Boston Bruins,4,,4565,2:46,
5/21/2021,Winnipeg Jets,1,Edmonton Oilers,0,OT,,2:50,
5/21/2021,Carolina Hurricanes,4,Nashville Predators,5,2OT,12135,4:08,
5/21/2021,Colorado Avalanche,5,St. Louis Blues,1,,9000,2:30,
5/22/2021,Montreal Canadiens,1,Toronto Maple Leafs,5,,,2:33,
5/22/2021,Pittsburgh Penguins,1,New York Islanders,4,,6800,2:26,
5/22/2021,Vegas Golden Knights,4,Minnesota Wild,0,,4500,2:24,
5/22/2021,Florida Panthers,2,Tampa Bay Lightning,6,,9762,2:51,
5/23/2021,Carolina Hurricanes,3,Nashville Predators,4,2OT,12135,4:02,
5/23/2021,Colorado Avalanche,5,St. Louis Blues,2,,9000,2:30,
5/23/2021,Edmonton Oilers,4,Winnipeg Jets,5,OT,,2:52,
5/23/2021,Boston Bruins,3,Washington Capitals,1,,5333,2:33,
5/24/2021,Minnesota Wild,4,Vegas Golden Knights,2,,12156,2:28,
5/24/2021,Edmonton Oilers,3,Winnipeg Jets,4,3OT,,4:19,
5/24/2021,New York Islanders,3,Pittsburgh Penguins,2,2OT,9344,3:23,
5/24/2021,Toronto Maple Leafs,2,Montreal Canadiens,1,,,2:32,
5/24/2021,Tampa Bay Lightning,1,Florida Panthers,4,,11551,2:31,
5/25/2021,Nashville Predators,2,Carolina Hurricanes,3,OT,12000,3:04,
5/25/2021,Toronto Maple Leafs,4,Montreal Canadiens,0,,,2:25,
5/26/2021,Vegas Golden Knights,0,Minnesota Wild,3,,4500,2:39,
5/26/2021,Pittsburgh Penguins,3,New York Islanders,5,,9000,2:29,
5/26/2021,Florida Panthers,0,Tampa Bay Lightning,4,,10092,2:25,
5/27/2021,Carolina Hurricanes,4,Nashville Predators,3,OT,14107,2:45,
5/27/2021,Montreal Canadiens,4,Toronto Maple Leafs,3,OT,,2:43,
5/28/2021,Minnesota Wild,2,Vegas Golden Knights,6,,12156,2:37,
5/29/2021,Toronto Maple Leafs,2,Montreal Canadiens,3,OT,,3:07,
5/29/2021,New York Islanders,2,Boston Bruins,5,,17400,2:37,
5/30/2021,Vegas Golden Knights,1,Colorado Avalanche,7,,10489,2:36,
5/30/2021,Tampa Bay Lightning,2,Carolina Hurricanes,1,,16299,2:32,
5/31/2021,New York Islanders,4,Boston Bruins,3,OT,17400,3:16,
5/31/2021,Montreal Canadiens,3,Toronto Maple Leafs,1,,,2:21,
6/1/2021,Tampa Bay Lightning,2,Carolina Hurricanes,1,,16299,2:29,
6/2/2021,Vegas Golden Knights,2,Colorado Avalanche,3,OT,10491,2:58,
6/2/2021,Montreal Canadiens,5,Winnipeg Jets,3,,,2:32,
6/3/2021,Boston Bruins,2,New York Islanders,1,OT,12000,2:51,
6/3/2021,Carolina Hurricanes,3,Tampa Bay Lightning,2,OT,13544,2:50,
6/4/2021,Colorado Avalanche,2,Vegas Golden Knights,3,,17504,2:34,
6/4/2021,Montreal Canadiens,1,Winnipeg Jets,0,,,2:26,
6/5/2021,Boston Bruins,1,New York Islanders,4,,12000,2:41,
6/5/2021,Carolina Hurricanes,4,Tampa Bay Lightning,6,,13773,2:34,
6/6/2021,Winnipeg Jets,1,Montreal Canadiens,5,,2500,2:35,
6/6/2021,Colorado Avalanche,1,Vegas Golden Knights,5,,18081,2:29,
6/7/2021,New York Islanders,5,Boston Bruins,4,,17400,2:35,
6/7/2021,Winnipeg Jets,2,Montreal Canadiens,3,OT,2500,2:40,
6/8/2021,Vegas Golden Knights,3,Colorado Avalanche,2,OT,10495,2:44,
6/8/2021,Tampa Bay Lightning,2,Carolina Hurricanes,0,,16299,2:23,
6/9/2021,Boston Bruins,2,New York Islanders,6,,12000,2:20,
6/10/2021,Colorado Avalanche,3,Vegas Golden Knights,6,,18149,2:34,
6/13/2021,New York Islanders,2,Tampa Bay Lightning,1,,14513,2:19,
6/14/2021,Montreal Canadiens,1,Vegas Golden Knights,4,,17884,2:30,
6/15/2021,New York Islanders,2,Tampa Bay Lightning,4,,14771,2:36,
6/16/2021,Montreal Canadiens,3,Vegas Golden Knights,2,,17920,2:28,
6/17/2021,Tampa Bay Lightning,2,New York Islanders,1,,12978,2:25,
6/18/2021,Vegas Golden Knights,2,Montreal Canadiens,3,OT,3500,3:01,
6/19/2021,Tampa Bay Lightning,2,New York Islanders,3,,12978,2:35,
