Date,Visitor,G,Home,G,,Att.,LOG,Notes
4/13/2016,Chicago Blackhawks,0,St. Louis Blues,1,OT,19241,2:50,
4/13/2016,New York Rangers,2,Pittsburgh Penguins,5,,18588,2:43,
4/13/2016,Detroit Red Wings,2,Tampa Bay Lightning,3,,19092,2:48,
4/14/2016,Minnesota Wild,0,Dallas Stars,4,,18532,2:37,
4/14/2016,Philadelphia Flyers,0,Washington Capitals,2,,18506,2:37,
4/14/2016,New York Islanders,5,Florida Panthers,4,,17422,2:37,
4/14/2016,San Jose Sharks,4,Los Angeles Kings,3,,18230,2:36,
4/15/2016,Nashville Predators,3,Anaheim Ducks,2,,17236,2:42,
4/15/2016,New York Islanders,1,Florida Panthers,3,,18373,2:39,
4/15/2016,Chicago Blackhawks,3,St. Louis Blues,2,,19846,2:45,
4/15/2016,Detroit Red Wings,2,Tampa Bay Lightning,5,,19092,2:51,
4/16/2016,Philadelphia Flyers,1,Washington Capitals,4,,18506,2:39,
4/16/2016,New York Rangers,4,Pittsburgh Penguins,2,,18614,2:45,
4/16/2016,San Jose Sharks,2,Los Angeles Kings,1,,18514,2:39,
4/16/2016,Minnesota Wild,1,Dallas Stars,2,,18988,2:48,
4/17/2016,Nashville Predators,3,Anaheim Ducks,2,,17174,2:36,
4/17/2016,St. Louis Blues,3,Chicago Blackhawks,2,,22207,2:39,
4/17/2016,Tampa Bay Lightning,0,Detroit Red Wings,2,,20027,2:42,
4/17/2016,Florida Panthers,3,New York Islanders,4,OT,15795,3:13,
4/18/2016,Dallas Stars,3,Minnesota Wild,5,,19038,2:40,
4/18/2016,Washington Capitals,6,Philadelphia Flyers,1,,19678,2:37,
4/18/2016,Los Angeles Kings,2,San Jose Sharks,1,OT,17562,2:52,
4/19/2016,Pittsburgh Penguins,3,New York Rangers,1,,18006,2:30,
4/19/2016,Tampa Bay Lightning,3,Detroit Red Wings,2,,20027,2:43,
4/19/2016,St. Louis Blues,4,Chicago Blackhawks,3,,22212,2:49,
4/19/2016,Anaheim Ducks,3,Nashville Predators,0,,17204,2:34,
4/20/2016,Dallas Stars,3,Minnesota Wild,2,,19080,2:39,
4/20/2016,Florida Panthers,2,New York Islanders,1,,15795,2:40,
4/20/2016,Washington Capitals,1,Philadelphia Flyers,2,,19692,2:41,
4/20/2016,Los Angeles Kings,2,San Jose Sharks,3,,17562,2:34,
4/21/2016,Anaheim Ducks,4,Nashville Predators,1,,17232,2:30,
4/21/2016,Pittsburgh Penguins,5,New York Rangers,0,,18006,2:44,
4/21/2016,Chicago Blackhawks,4,St. Louis Blues,3,2OT,19956,3:43,
4/21/2016,Detroit Red Wings,0,Tampa Bay Lightning,1,,19092,2:34,
4/22/2016,Minnesota Wild,5,Dallas Stars,4,OT,18889,3:02,
4/22/2016,Philadelphia Flyers,2,Washington Capitals,0,,18506,2:45,
4/22/2016,San Jose Sharks,6,Los Angeles Kings,3,,18543,2:36,
4/22/2016,New York Islanders,2,Florida Panthers,1,2OT,20247,4:07,
4/23/2016,Nashville Predators,2,Anaheim Ducks,5,,17360,2:40,
4/23/2016,St. Louis Blues,3,Chicago Blackhawks,6,,22260,2:31,
4/23/2016,New York Rangers,3,Pittsburgh Penguins,6,,18607,2:35,
