Date,Visitor,G,Home,G,,Att.,LOG,Notes
10/12/2016,St. Louis Blues,5,Chicago Blackhawks,2,,21729,2:29,
10/12/2016,Calgary Flames,4,Edmonton Oilers,7,,18347,2:35,
10/12/2016,Toronto Maple Leafs,4,Ottawa Senators,5,OT,17618,2:36,
10/12/2016,Los Angeles Kings,1,San Jose Sharks,2,,17562,2:29,
10/13/2016,Montreal Canadiens,4,Buffalo Sabres,1,,19070,2:44,
10/13/2016,Boston Bruins,6,Columbus Blue Jackets,3,,18144,2:29,
10/13/2016,Anaheim Ducks,2,Dallas Stars,4,,18532,2:30,
10/13/2016,New Jersey Devils,1,Florida Panthers,2,OT,17128,2:36,
10/13/2016,New York Islanders,3,New York Rangers,5,,18200,2:29,
10/13/2016,Washington Capitals,2,Pittsburgh Penguins,3,SO,18630,2:50,
10/13/2016,Minnesota Wild,2,St. Louis Blues,3,,19673,2:29,
10/13/2016,Detroit Red Wings,4,Tampa Bay Lightning,6,,19092,2:47,
10/13/2016,Carolina Hurricanes,4,Winnipeg Jets,5,OT,15296,2:32,
10/14/2016,Edmonton Oilers,5,Calgary Flames,3,,19289,2:28,
10/14/2016,Philadelphia Flyers,4,Los Angeles Kings,2,,18453,2:31,
10/14/2016,Chicago Blackhawks,2,Nashville Predators,3,,17256,2:35,
10/15/2016,Philadelphia Flyers,3,Arizona Coyotes,4,OT,17125,2:39,
10/15/2016,San Jose Sharks,3,Columbus Blue Jackets,2,,16546,2:24,
10/15/2016,Nashville Predators,3,Chicago Blackhawks,5,,21665,2:29,
10/15/2016,Dallas Stars,5,Colorado Avalanche,6,,18007,2:38,
10/15/2016,Detroit Red Wings,1,Florida Panthers,4,,16868,2:35,
10/15/2016,Winnipeg Jets,3,Minnesota Wild,4,,19024,2:41,
10/15/2016,Montreal Canadiens,3,Ottawa Senators,4,SO,18195,2:44,
10/15/2016,Anaheim Ducks,2,Pittsburgh Penguins,3,,18452,2:38,
10/15/2016,New York Rangers,2,St. Louis Blues,3,,19197,2:24,
10/15/2016,New Jersey Devils,2,Tampa Bay Lightning,3,,19092,2:36,
10/15/2016,Boston Bruins,1,Toronto Maple Leafs,4,,19466,2:23,
10/15/2016,Calgary Flames,1,Vancouver Canucks,2,SO,18865,2:42,
10/15/2016,New York Islanders,1,Washington Capitals,2,,18506,2:25,
10/16/2016,Buffalo Sabres,6,Edmonton Oilers,2,,18347,2:39,
10/16/2016,Anaheim Ducks,2,New York Islanders,3,OT,15795,2:37,
10/16/2016,Carolina Hurricanes,3,Vancouver Canucks,4,OT,17832,2:25,
10/17/2016,Ottawa Senators,1,Detroit Red Wings,5,,20027,2:33,
10/17/2016,San Jose Sharks,4,New York Rangers,7,,18200,2:32,
10/17/2016,Colorado Avalanche,4,Pittsburgh Penguins,3,OT,18431,2:41,
10/17/2016,Boston Bruins,4,Winnipeg Jets,1,,15296,2:36,
10/18/2016,Buffalo Sabres,3,Calgary Flames,4,OT,19289,2:35,
10/18/2016,Philadelphia Flyers,4,Chicago Blackhawks,7,,21263,2:26,
10/18/2016,Carolina Hurricanes,2,Edmonton Oilers,3,,18347,2:30,
10/18/2016,Los Angeles Kings,3,Minnesota Wild,6,,18644,2:40,
10/18/2016,Pittsburgh Penguins,0,Montreal Canadiens,4,,21288,2:47,
10/18/2016,Anaheim Ducks,1,New Jersey Devils,2,,16514,2:37,
10/18/2016,Dallas Stars,2,Nashville Predators,1,,17113,2:29,
