Date,Visitor,G,Home,G,,Att.,LOG,Notes
8/1/2020,New York Rangers,2,Carolina Hurricanes,3,,,2:28,at Scotiabank Arena (Toronto ON)
8/1/2020,Winnipeg Jets,1,Calgary Flames,4,,,2:26,at Rogers Place (Edmonton AB)
8/1/2020,Chicago Blackhawks,6,Edmonton Oilers,4,,,2:27,
8/1/2020,Florida Panthers,1,New York Islanders,2,,,2:25,at Scotiabank Arena (Toronto ON)
8/1/2020,Montreal Canadiens,3,Pittsburgh Penguins,2,OT,,3:01,at Scotiabank Arena (Toronto ON)
8/2/2020,Philadelphia Flyers,4,Boston Bruins,1,,,2:37,at Scotiabank Arena (Toronto ON)
8/2/2020,St. Louis Blues,1,Colorado Avalanche,2,,,2:28,at Rogers Place (Edmonton AB)
8/2/2020,Arizona Coyotes,4,Nashville Predators,3,,,2:27,at Rogers Place (Edmonton AB)
8/2/2020,Columbus Blue Jackets,2,Toronto Maple Leafs,0,,,2:25,
8/2/2020,Minnesota Wild,3,Vancouver Canucks,0,,,2:32,at Rogers Place (Edmonton AB)
8/3/2020,New York Rangers,1,Carolina Hurricanes,4,,,2:28,at Scotiabank Arena (Toronto ON)
8/3/2020,Winnipeg Jets,3,Calgary Flames,2,,,2:26,at Rogers Place (Edmonton AB)
8/3/2020,Chicago Blackhawks,3,Edmonton Oilers,6,,,2:25,
8/3/2020,Montreal Canadiens,1,Pittsburgh Penguins,3,,,2:36,at Scotiabank Arena (Toronto ON)
8/3/2020,Washington Capitals,2,Tampa Bay Lightning,3,SO,,2:42,at Scotiabank Arena (Toronto ON)
8/3/2020,Dallas Stars,3,Vegas Golden Knights,5,,,2:23,at Rogers Place (Edmonton AB)
8/4/2020,Arizona Coyotes,2,Nashville Predators,4,,,2:26,at Rogers Place (Edmonton AB)
8/4/2020,Florida Panthers,2,New York Islanders,4,,,2:33,at Scotiabank Arena (Toronto ON)
8/4/2020,Carolina Hurricanes,4,New York Rangers,1,,,2:33,at Scotiabank Arena (Toronto ON)
8/4/2020,Columbus Blue Jackets,0,Toronto Maple Leafs,3,,,2:38,
8/4/2020,Minnesota Wild,3,Vancouver Canucks,4,,,2:39,at Rogers Place (Edmonton AB)
8/4/2020,Calgary Flames,6,Winnipeg Jets,2,,,2:36,at Rogers Place (Edmonton AB)
8/5/2020,Nashville Predators,1,Arizona Coyotes,4,,,2:30,at Rogers Place (Edmonton AB)
8/5/2020,Tampa Bay Lightning,3,Boston Bruins,2,,,2:38,at Scotiabank Arena (Toronto ON)
8/5/2020,Edmonton Oilers,3,Chicago Blackhawks,4,,,2:34,at Rogers Place (Edmonton AB)
8/5/2020,Colorado Avalanche,4,Dallas Stars,0,,,2:27,at Rogers Place (Edmonton AB)
8/5/2020,New York Islanders,2,Florida Panthers,3,,,2:21,at Scotiabank Arena (Toronto ON)
8/5/2020,Pittsburgh Penguins,3,Montreal Canadiens,4,,,2:41,at Scotiabank Arena (Toronto ON)
8/6/2020,Toronto Maple Leafs,3,Columbus Blue Jackets,4,OT,,3:16,at Scotiabank Arena (Toronto ON)
8/6/2020,Vancouver Canucks,3,Minnesota Wild,0,,,2:39,at Rogers Place (Edmonton AB)
8/6/2020,Washington Capitals,1,Philadelphia Flyers,3,,,2:26,at Scotiabank Arena (Toronto ON)
8/6/2020,Vegas Golden Knights,6,St. Louis Blues,4,,,2:28,at Rogers Place (Edmonton AB)
8/6/2020,Calgary Flames,4,Winnipeg Jets,0,,,2:29,at Rogers Place (Edmonton AB)
8/7/2020,Nashville Predators,3,Arizona Coyotes,4,OT,,2:50,at Rogers Place (Edmonton AB)
8/7/2020,Toronto Maple Leafs,4,Columbus Blue Jackets,3,OT,,3:00,at Scotiabank Arena (Toronto ON)
8/7/2020,Edmonton Oilers,2,Chicago Blackhawks,3,,,2:28,at Rogers Place (Edmonton AB)
