,Anaheim Ducks,Arizona Coyotes,Boston Bruins,Buffalo Sabres,Calgary Flames,Carolina Hurricanes,Chicago Blackhawks,Colorado Avalanche,Columbus Blue Jackets,Dallas Stars,Detroit Red Wings,Edmonton Oilers,Florida Panthers,LA Kings,Minnesota Wild,Montreal Canadiens,Nashville Predators,New Jersey Devils,New York Islanders,New York Rangers,Ottawa Senators,Philadelphia Flyers,Pittsburgh Penguins,San Jose Sharks,St. Louis Blues,Seattle Kraken,Tampa Bay Lightning,Toronto Maple Leafs,Vancouver Canucks,Vegas Golden Knights,Washington Capitals,Winnipeg Jets,,,,,,,,,,,,,,,,
Seattle Kraken,1575,1781,4004,3405,727,3779,2760,1644,3236,2667,3092,897,4366,1536,2244,3676,3175,3854,3885,3872,3531,3816,3409,1121,2796,-,4050,3306,205,1393,3737,1851,,,,,,,,,,,,,,,,
Tampa Bay Lightning,3416,2872,1907,1698,3678,946,1631,2422,1337,1493,1584,3789,316,3466,2104,2102,986,1606,1619,1627,2021,1482,1407,3802,1355,4050,-,1765,4173,3187,1311,2739,,,,,,,,,,,,,,,,
Toronto Maple Leafs,3466,3013,715,109,2689,870,701,2112,490,1929,344,2689,1958,3494,1088,520,1032,558,587,572,362,557,357,3603,1025,3306,1765,-,3345,3120,578,1504,,,,,,,,,,,,,,,,
Vancouver Canucks,1780,1980,4033,3447,686,3860,2830,1789,3305,2818,3149,808,4489,1740,2304,3692,3277,3898,3929,3915,3551,3868,3469,1319,2894,205,4173,3345,-,1596,3798,1863,,,,,,,,,,,,,,,,
Vegas Golden Knights,364,411,3822,3189,1675,3252,2431,1008,2843,1694,2808,1918,3492,380,2088,3609,2549,3575,3609,3599,3444,3494,3066,620,2250,1393,3187,3120,1596,-,3353,2107,,,,,,,,,,,,,,,,
Washington Capitals,3674,3177,641,476,3168,364,982,2369,518,1914,651,3195,1450,3710,1494,792,902,318,342,344,728,191,328,3891,1108,3737,1311,578,3798,3353,-,2011,,,,,,,,,,,,,,,,-
Winnipeg Jets,2470,2196,2173,1610,1191,2154,1137,1260,1572,1891,1367,1187,3027,2477,635,1829,1752,2062,2091,2076,1688,2048,1687,2409,1393,1851,2739,1504,1863,2107,2011,-,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUM,84019,74657,60753,48677,74842,53769,45598,58472,46024,58956,45701,77325,74851,84667,49120,57922,49388,54284,55018,54786,54525,53065,47192,88090,47246,85390,67891,48458,87810,75946,51515,57457,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longest travel SUM,San Jose,88090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shortest travel SUM,Chicago,45598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longest 1-way,FLA-VAN,4489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shortest 1-way,NYI-NYR,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
