Date,Visitor,G,Home,G,,Att.,LOG,Notes
1/13/2021,St. Louis Blues,4,Colorado Avalanche,1,,,2:24,
1/13/2021,Vancouver Canucks,5,Edmonton Oilers,3,,,2:24,
1/13/2021,Pittsburgh Penguins,3,Philadelphia Flyers,6,,,2:21,
1/13/2021,Chicago Blackhawks,1,Tampa Bay Lightning,5,,,2:26,
1/13/2021,Montreal Canadiens,4,Toronto Maple Leafs,5,OT,,2:38,
1/14/2021,San Jose Sharks,4,Arizona Coyotes,3,SO,2274,2:37,
1/14/2021,Washington Capitals,6,Buffalo Sabres,4,,,2:23,
1/14/2021,Carolina Hurricanes,3,Detroit Red Wings,0,,,2:25,
1/14/2021,Vancouver Canucks,2,Edmonton Oilers,5,,,2:30,
1/14/2021,Minnesota Wild,4,Los Angeles Kings,3,OT,,2:37,
1/14/2021,Boston Bruins,3,New Jersey Devils,2,SO,,2:43,
1/14/2021,Columbus Blue Jackets,1,Nashville Predators,3,,,2:29,
1/14/2021,New York Islanders,4,New York Rangers,0,,,2:30,
1/14/2021,Anaheim Ducks,2,Vegas Golden Knights,5,,,2:24,
1/14/2021,Calgary Flames,3,Winnipeg Jets,4,OT,,2:26,
1/15/2021,Washington Capitals,2,Buffalo Sabres,1,,,2:17,
1/15/2021,St. Louis Blues,0,Colorado Avalanche,8,,,2:31,
1/15/2021,Toronto Maple Leafs,3,Ottawa Senators,5,,,2:28,
1/15/2021,Pittsburgh Penguins,2,Philadelphia Flyers,5,,,2:23,
1/15/2021,Chicago Blackhawks,2,Tampa Bay Lightning,5,,,2:23,
1/16/2021,San Jose Sharks,3,Arizona Coyotes,5,,2384,2:22,
1/16/2021,Vancouver Canucks,0,Calgary Flames,3,,,2:24,
1/16/2021,Carolina Hurricanes,2,Detroit Red Wings,4,,,2:28,
1/16/2021,Montreal Canadiens,5,Edmonton Oilers,1,,,2:20,
1/16/2021,Minnesota Wild,4,Los Angeles Kings,3,OT,,2:42,
1/16/2021,Boston Bruins,1,New Jersey Devils,2,OT,,2:34,
1/16/2021,Columbus Blue Jackets,2,Nashville Predators,5,,,2:28,
1/16/2021,New York Islanders,0,New York Rangers,5,,,2:41,
1/16/2021,Toronto Maple Leafs,3,Ottawa Senators,2,,,2:23,
1/16/2021,Anaheim Ducks,1,Vegas Golden Knights,2,OT,,2:18,
1/17/2021,Chicago Blackhawks,2,Florida Panthers,5,,4147,2:27,
1/17/2021,Washington Capitals,3,Pittsburgh Penguins,4,SO,,2:40,
1/18/2021,Minnesota Wild,0,Anaheim Ducks,1,,,2:28,
1/18/2021,Vancouver Canucks,2,Calgary Flames,5,,,2:21,
1/18/2021,Columbus Blue Jackets,3,Detroit Red Wings,2,,,2:37,
1/18/2021,Montreal Canadiens,3,Edmonton Oilers,1,,,2:26,
1/18/2021,Carolina Hurricanes,4,Nashville Predators,2,,,2:22,
1/18/2021,Boston Bruins,0,New York Islanders,1,,,2:26,
1/18/2021,Buffalo Sabres,6,Philadelphia Flyers,1,,,2:26,
1/18/2021,San Jose Sharks,4,St. Louis Blues,5,,,2:32,
1/18/2021,Winnipeg Jets,1,Toronto Maple Leafs,3,,,2:20,
1/18/2021,Arizona Coyotes,2,Vegas Golden Knights,4,,,2:33,
1/19/2021,Columbus Blue Jackets,2,Detroit Red Wings,3,OT,,2:21,
1/19/2021,Chicago Blackhawks,4,Florida Panthers,5,OT,3667,2:34,
1/19/2021,Colorado Avalanche,3,Los Angeles Kings,2,,,2:27,
1/19/2021,New Jersey Devils,4,New York Rangers,3,,,2:30,
