Date,Visitor,G,Home,G,,Att.,LOG,Notes
10/4/2017,Calgary Flames,0,Edmonton Oilers,3,,18347,2:34,
10/4/2017,St. Louis Blues,5,Pittsburgh Penguins,4,OT,18652,2:38,
10/4/2017,Philadelphia Flyers,5,San Jose Sharks,3,,17562,2:27,
10/4/2017,Toronto Maple Leafs,7,Winnipeg Jets,2,,15321,2:33,
10/5/2017,Arizona Coyotes,4,Anaheim Ducks,5,,17174,2:38,
10/5/2017,Nashville Predators,3,Boston Bruins,4,,17565,2:39,
10/5/2017,Montreal Canadiens,3,Buffalo Sabres,2,SO,19070,2:49,
10/5/2017,Pittsburgh Penguins,1,Chicago Blackhawks,10,,21705,2:35,
10/5/2017,Minnesota Wild,2,Detroit Red Wings,4,,19515,2:39,at Little Caesars Arena (Detroit MI)
10/5/2017,Philadelphia Flyers,0,Los Angeles Kings,2,,18230,2:37,
10/5/2017,Colorado Avalanche,4,New York Rangers,2,,18006,2:27,
10/5/2017,Washington Capitals,5,Ottawa Senators,4,SO,17009,2:43,
10/6/2017,New York Islanders,0,Columbus Blue Jackets,5,,18595,2:25,
10/6/2017,Vegas Golden Knights,2,Dallas Stars,1,,18532,2:41,
10/6/2017,Florida Panthers,3,Tampa Bay Lightning,5,,19092,2:32,
10/7/2017,Philadelphia Flyers,3,Anaheim Ducks,2,OT,16032,2:30,
10/7/2017,Vegas Golden Knights,2,Arizona Coyotes,1,OT,17125,2:36,
10/7/2017,Minnesota Wild,4,Carolina Hurricanes,5,SO,18680,2:54,
10/7/2017,Winnipeg Jets,3,Calgary Flames,6,,19289,2:32,
10/7/2017,Columbus Blue Jackets,1,Chicago Blackhawks,5,,21264,2:23,
10/7/2017,Tampa Bay Lightning,4,Florida Panthers,5,,16871,2:46,
10/7/2017,Colorado Avalanche,1,New Jersey Devils,4,,16514,2:24,
10/7/2017,Buffalo Sabres,3,New York Islanders,6,,15234,2:35,
10/7/2017,Detroit Red Wings,2,Ottawa Senators,1,SO,14883,2:44,
10/7/2017,Nashville Predators,0,Pittsburgh Penguins,4,,18645,2:38,
10/7/2017,Los Angeles Kings,4,San Jose Sharks,1,,17562,2:31,
10/7/2017,Dallas Stars,2,St. Louis Blues,4,,18858,2:32,
10/7/2017,New York Rangers,5,Toronto Maple Leafs,8,,19621,2:48,
10/7/2017,Edmonton Oilers,2,Vancouver Canucks,3,,18865,2:36,
10/7/2017,Montreal Canadiens,1,Washington Capitals,6,,18506,2:39,
10/8/2017,Montreal Canadiens,0,New York Rangers,2,,18006,2:29,
10/9/2017,Calgary Flames,2,Anaheim Ducks,0,,15485,2:21,
10/9/2017,Colorado Avalanche,4,Boston Bruins,0,,17565,2:28,
10/9/2017,New Jersey Devils,6,Buffalo Sabres,2,,17697,2:26,
10/9/2017,Winnipeg Jets,5,Edmonton Oilers,2,,18347,2:34,
10/9/2017,St. Louis Blues,3,New York Islanders,2,SO,10673,2:39,
10/9/2017,Washington Capitals,3,Tampa Bay Lightning,4,OT,19092,2:46,
10/9/2017,Chicago Blackhawks,3,Toronto Maple Leafs,4,OT,19456,2:39,
10/10/2017,Columbus Blue Jackets,2,Carolina Hurricanes,1,OT,7892,2:37,
10/10/2017,Detroit Red Wings,2,Dallas Stars,4,,18119,2:42,
10/10/2017,Chicago Blackhawks,3,Montreal Canadiens,1,,21302,2:28,
10/10/2017,Philadelphia Flyers,5,Nashville Predators,6,,17194,2:40,
10/10/2017,St. Louis Blues,3,New York Rangers,1,,18006,2:30,
10/10/2017,Ottawa Senators,3,Vancouver Canucks,2,SO,17273,2:45,
10/10/2017,Arizona Coyotes,2,Vegas Golden Knights,5,,18191,2:33,
10/11/2017,New York Islanders,2,Anaheim Ducks,3,,14553,2:34,
10/11/2017,Boston Bruins,3,Colorado Avalanche,6,,18011,2:38,
10/11/2017,Calgary Flames,4,Los Angeles Kings,3,OT,18230,2:40,
10/11/2017,New Jersey Devils,6,Toronto Maple Leafs,3,,19103,2:39,
10/11/2017,Pittsburgh Penguins,3,Washington Capitals,2,,18506,2:34,
10/12/2017,Detroit Red Wings,4,Arizona Coyotes,2,,13584,2:36,
10/12/2017,Minnesota Wild,5,Chicago Blackhawks,2,,21386,2:34,
10/12/2017,St. Louis Blues,2,Florida Panthers,5,,10846,2:43,
10/12/2017,Dallas Stars,1,Nashville Predators,4,,17113,2:32,
10/12/2017,Buffalo Sabres,2,San Jose Sharks,3,,17402,2:30,
10/12/2017,Pittsburgh Penguins,4,Tampa Bay Lightning,5,,19092,2:42,
10/12/2017,Winnipeg Jets,4,Vancouver Canucks,2,,15589,2:32,
10/13/2017,New York Rangers,1,Columbus Blue Jackets,3,,15342,2:28,
10/13/2017,Ottawa Senators,6,Calgary Flames,0,,19289,2:33,
10/13/2017,Anaheim Ducks,1,Colorado Avalanche,3,,15393,2:37,
10/13/2017,Washington Capitals,5,New Jersey Devils,2,,13458,2:35,
10/13/2017,Detroit Red Wings,6,Vegas Golden Knights,3,,17645,2:26,
10/14/2017,Boston Bruins,6,Arizona Coyotes,2,,14810,2:31,
10/14/2017,Nashville Predators,1,Chicago Blackhawks,2,OT,21564,2:39,
10/14/2017,Colorado Avalanche,1,Dallas Stars,3,,17967,2:33,
10/14/2017,Ottawa Senators,6,Edmonton Oilers,1,,18347,2:30,
10/14/2017,Buffalo Sabres,2,Los Angeles Kings,4,,18230,2:31,
10/14/2017,Columbus Blue Jackets,5,Minnesota Wild,4,OT,19064,2:40,
10/14/2017,Toronto Maple Leafs,4,Montreal Canadiens,3,OT,21302,2:39,
10/14/2017,New Jersey Devils,3,New York Rangers,2,,18006,2:30,
10/14/2017,Washington Capitals,2,Philadelphia Flyers,8,,19817,2:32,
10/14/2017,Florida Panthers,3,Pittsburgh Penguins,4,,18582,2:37,
10/14/2017,New York Islanders,3,San Jose Sharks,1,,17562,2:22,
10/14/2017,St. Louis Blues,1,Tampa Bay Lightning,2,,19092,2:26,
10/14/2017,Calgary Flames,5,Vancouver Canucks,2,,17074,2:33,
10/14/2017,Carolina Hurricanes,1,Winnipeg Jets,2,,15321,2:28,
10/15/2017,Buffalo Sabres,3,Anaheim Ducks,1,,15821,2:35,
