Date,Visitor,G,Home,G,,Att.,LOG,Notes
4/12/2017,St. Louis Blues,2,Minnesota Wild,1,OT,19168,3:18,
4/12/2017,San Jose Sharks,3,Edmonton Oilers,2,OT,18347,2:40,
4/12/2017,Columbus Blue Jackets,1,Pittsburgh Penguins,3,,18563,2:37,
4/12/2017,New York Rangers,2,Montreal Canadiens,0,,21288,2:30,
4/12/2017,Boston Bruins,2,Ottawa Senators,1,,18702,2:30,
4/13/2017,Calgary Flames,2,Anaheim Ducks,3,,17174,2:45,
4/13/2017,Nashville Predators,1,Chicago Blackhawks,0,,22075,2:27,
4/13/2017,Toronto Maple Leafs,2,Washington Capitals,3,OT,18506,3:02,
4/14/2017,San Jose Sharks,0,Edmonton Oilers,2,,18347,2:25,
4/14/2017,St. Louis Blues,2,Minnesota Wild,1,,19404,2:41,
4/14/2017,New York Rangers,3,Montreal Canadiens,4,OT,21288,3:20,
4/14/2017,Columbus Blue Jackets,1,Pittsburgh Penguins,4,,18622,2:33,
4/15/2017,Calgary Flames,2,Anaheim Ducks,3,,17271,2:49,
4/15/2017,Toronto Maple Leafs,4,Washington Capitals,3,2OT,18506,4:21,
4/15/2017,Boston Bruins,3,Ottawa Senators,4,OT,18629,2:49,
4/15/2017,Nashville Predators,5,Chicago Blackhawks,0,,22175,2:30,
4/16/2017,Pittsburgh Penguins,5,Columbus Blue Jackets,4,OT,19092,3:10,
4/16/2017,Montreal Canadiens,3,New York Rangers,1,,18006,2:31,
4/16/2017,Edmonton Oilers,1,San Jose Sharks,0,,17562,2:16,
4/16/2017,Minnesota Wild,1,St. Louis Blues,3,,19334,2:45,
4/17/2017,Washington Capitals,3,Toronto Maple Leafs,4,OT,19861,2:52,
4/17/2017,Chicago Blackhawks,2,Nashville Predators,3,OT,17204,4:23,
4/17/2017,Ottawa Senators,4,Boston Bruins,3,OT,17565,3:00,
4/17/2017,Anaheim Ducks,5,Calgary Flames,4,OT,19289,3:04,
4/18/2017,Pittsburgh Penguins,4,Columbus Blue Jackets,5,,19093,2:27,
4/18/2017,Montreal Canadiens,1,New York Rangers,2,,18006,2:37,
4/18/2017,Edmonton Oilers,0,San Jose Sharks,7,,17562,2:31,
4/19/2017,Ottawa Senators,1,Boston Bruins,0,,17565,2:33,
4/19/2017,Anaheim Ducks,3,Calgary Flames,1,,19289,2:32,
4/19/2017,Minnesota Wild,2,St. Louis Blues,0,,19791,2:38,
4/19/2017,Washington Capitals,5,Toronto Maple Leafs,4,,19838,2:42,
4/20/2017,New York Rangers,3,Montreal Canadiens,2,OT,21288,3:07,
4/20/2017,Columbus Blue Jackets,2,Pittsburgh Penguins,5,,18585,2:28,
4/20/2017,Chicago Blackhawks,1,Nashville Predators,4,,17326,2:31,
4/20/2017,San Jose Sharks,3,Edmonton Oilers,4,OT,18347,3:10,
4/21/2017,Boston Bruins,3,Ottawa Senators,2,2OT,19209,4:06,
4/21/2017,Toronto Maple Leafs,1,Washington Capitals,2,OT,18506,2:59,
4/22/2017,St. Louis Blues,4,Minnesota Wild,3,OT,19228,3:14,
4/22/2017,Montreal Canadiens,1,New York Rangers,3,,18006,2:32,
4/22/2017,Edmonton Oilers,3,San Jose Sharks,1,,17562,2:21,
4/23/2017,Ottawa Senators,3,Boston Bruins,2,OT,17565,2:55,
4/23/2017,Washington Capitals,2,Toronto Maple Leafs,1,OT,19740,2:59,
4/26/2017,Nashville Predators,4,St. Louis Blues,3,,19154,2:50,
4/26/2017,Edmonton Oilers,5,Anaheim Ducks,3,,17174,2:41,
4/27/2017,New York Rangers,1,Ottawa Senators,2,,16744,2:33,
4/27/2017,Pittsburgh Penguins,3,Washington Capitals,2,,18506,2:33,
4/28/2017,Edmonton Oilers,2,Anaheim Ducks,1,,17174,2:37,
4/28/2017,Nashville Predators,2,St. Louis Blues,3,,19506,2:31,
4/29/2017,New York Rangers,5,Ottawa Senators,6,2OT,18679,3:46,
4/29/2017,Pittsburgh Penguins,6,Washington Capitals,2,,18506,2:46,
4/30/2017,Anaheim Ducks,6,Edmonton Oilers,3,,18347,2:42,
4/30/2017,St. Louis Blues,1,Nashville Predators,3,,17220,2:36,
5/1/2017,Washington Capitals,3,Pittsburgh Penguins,2,OT,18625,3:05,
5/2/2017,St. Louis Blues,1,Nashville Predators,2,,17273,2:45,
5/2/2017,Ottawa Senators,1,New York Rangers,4,,18006,2:27,
5/3/2017,Anaheim Ducks,4,Edmonton Oilers,3,OT,18347,2:56,
5/3/2017,Washington Capitals,2,Pittsburgh Penguins,3,,18617,2:35,
5/4/2017,Ottawa Senators,1,New York Rangers,4,,18006,2:42,
5/5/2017,Edmonton Oilers,3,Anaheim Ducks,4,2OT,17358,3:53,
5/5/2017,Nashville Predators,1,St. Louis Blues,2,,19168,2:32,
5/6/2017,New York Rangers,4,Ottawa Senators,5,OT,19082,3:08,
5/6/2017,Pittsburgh Penguins,2,Washington Capitals,4,,18506,2:28,
5/7/2017,Anaheim Ducks,1,Edmonton Oilers,7,,18347,2:46,
5/7/2017,St. Louis Blues,1,Nashville Predators,3,,17240,2:31,
5/8/2017,Washington Capitals,5,Pittsburgh Penguins,2,,18594,2:33,
5/9/2017,Ottawa Senators,4,New York Rangers,2,,18006,2:27,
5/10/2017,Pittsburgh Penguins,2,Washington Capitals,0,,18506,2:26,
5/10/2017,Edmonton Oilers,1,Anaheim Ducks,2,,17407,2:23,
5/12/2017,Nashville Predators,3,Anaheim Ducks,2,OT,17174,3:09,
5/13/2017,Ottawa Senators,2,Pittsburgh Penguins,1,OT,18614,2:56,
5/14/2017,Nashville Predators,3,Anaheim Ducks,5,,17174,2:40,
5/15/2017,Ottawa Senators,0,Pittsburgh Penguins,1,,18610,2:32,
5/16/2017,Anaheim Ducks,1,Nashville Predators,2,,17338,2:45,
5/17/2017,Pittsburgh Penguins,1,Ottawa Senators,5,,18615,2:35,
5/18/2017,Anaheim Ducks,3,Nashville Predators,2,OT,17423,3:13,
5/19/2017,Pittsburgh Penguins,3,Ottawa Senators,2,,19145,2:32,
5/20/2017,Nashville Predators,3,Anaheim Ducks,1,,17307,2:43,
5/21/2017,Ottawa Senators,0,Pittsburgh Penguins,7,,18635,2:27,
5/22/2017,Anaheim Ducks,3,Nashville Predators,6,,17352,2:44,
5/23/2017,Pittsburgh Penguins,1,Ottawa Senators,2,,18111,2:48,
5/25/2017,Ottawa Senators,2,Pittsburgh Penguins,3,2OT,18604,3:42,
5/29/2017,Nashville Predators,3,Pittsburgh Penguins,5,,18618,2:39,
5/31/2017,Nashville Predators,1,Pittsburgh Penguins,4,,18643,2:49,
6/3/2017,Pittsburgh Penguins,1,Nashville Predators,5,,17283,2:42,
6/5/2017,Pittsburgh Penguins,1,Nashville Predators,4,,17260,2:44,
6/8/2017,Nashville Predators,0,Pittsburgh Penguins,6,,18605,2:35,
6/11/2017,Pittsburgh Penguins,2,Nashville Predators,0,,17271,2:37,
6/5/2017,Pittsburgh Penguins,1,Nashville Predators,4,,17260,2:44,
6/8/2017,Nashville Predators,0,Pittsburgh Penguins,6,,18605,2:35,
6/11/2017,Pittsburgh Penguins,2,Nashville Predators,0,,17271,2:37,
