Date,Visitor,G,Home,G,,Att.,LOG,Notes
5/2/2022,Los Angeles Kings,4,Edmonton Oilers,3,,18347,2:37,
5/2/2022,Boston Bruins,1,Carolina Hurricanes,5,,18680,2:40,
5/2/2022,Tampa Bay Lightning,0,Toronto Maple Leafs,5,,19338,2:40,
5/2/2022,St. Louis Blues,4,Minnesota Wild,0,,19053,2:30,
5/3/2022,Dallas Stars,0,Calgary Flames,1,,19289,2:31,
5/3/2022,Nashville Predators,2,Colorado Avalanche,7,,18091,2:44,
5/3/2022,Washington Capitals,4,Florida Panthers,2,,19678,2:29,
5/3/2022,Pittsburgh Penguins,4,New York Rangers,3,3OT,18006,4:37,
5/4/2022,Boston Bruins,2,Carolina Hurricanes,5,,18880,2:53,
5/4/2022,Los Angeles Kings,0,Edmonton Oilers,6,,18347,2:36,
5/4/2022,St. Louis Blues,2,Minnesota Wild,6,,19376,2:40,
5/4/2022,Tampa Bay Lightning,5,Toronto Maple Leafs,3,,19135,2:35,
5/5/2022,Washington Capitals,1,Florida Panthers,5,,19636,2:37,
5/5/2022,Pittsburgh Penguins,2,New York Rangers,5,,18006,2:35,
5/5/2022,Nashville Predators,1,Colorado Avalanche,2,OT,18115,3:02,
5/5/2022,Dallas Stars,2,Calgary Flames,0,,19289,2:29,
5/6/2022,Carolina Hurricanes,2,Boston Bruins,4,,17850,2:42,
5/6/2022,Edmonton Oilers,8,Los Angeles Kings,2,,18230,2:35,
5/6/2022,Minnesota Wild,5,St. Louis Blues,1,,18096,2:30,
5/6/2022,Toronto Maple Leafs,5,Tampa Bay Lightning,2,,19092,2:35,
5/7/2022,Calgary Flames,2,Dallas Stars,4,,18532,2:41,
5/7/2022,Colorado Avalanche,7,Nashville Predators,3,,17430,2:37,
5/7/2022,New York Rangers,4,Pittsburgh Penguins,7,,18385,2:30,
5/7/2022,Florida Panthers,1,Washington Capitals,6,,18573,2:34,
5/8/2022,Carolina Hurricanes,2,Boston Bruins,5,,17850,2:43,
5/8/2022,Toronto Maple Leafs,3,Tampa Bay Lightning,7,,19092,2:34,
5/8/2022,Edmonton Oilers,0,Los Angeles Kings,4,,18230,2:39,
5/8/2022,Minnesota Wild,2,St. Louis Blues,5,,18096,2:36,
5/9/2022,Calgary Flames,4,Dallas Stars,1,,18532,2:35,
5/9/2022,Colorado Avalanche,5,Nashville Predators,3,,17188,2:37,
5/9/2022,New York Rangers,2,Pittsburgh Penguins,7,,18392,2:22,
5/9/2022,Florida Panthers,3,Washington Capitals,2,OT,18573,2:48,
5/10/2022,Tampa Bay Lightning,3,Toronto Maple Leafs,4,,19434,2:30,
5/10/2022,St. Louis Blues,5,Minnesota Wild,2,,19197,2:26,
5/10/2022,Los Angeles Kings,5,Edmonton Oilers,4,OT,18347,2:53,
5/10/2022,Boston Bruins,1,Carolina Hurricanes,5,,19163,2:38,
5/11/2022,Dallas Stars,1,Calgary Flames,3,,19289,2:25,
5/11/2022,Washington Capitals,3,Florida Panthers,5,,20023,2:40,
5/11/2022,Pittsburgh Penguins,3,New York Rangers,5,,18006,2:32,
5/12/2022,Carolina Hurricanes,2,Boston Bruins,5,,17850,2:29,
5/12/2022,Edmonton Oilers,4,Los Angeles Kings,2,,18301,2:45,
5/12/2022,Minnesota Wild,1,St. Louis Blues,5,,18096,2:29,
5/12/2022,Toronto Maple Leafs,3,Tampa Bay Lightning,4,OT,19092,3:17,
