Date,Visitor,G,Home,G,,Att.,LOG,Notes
10/14/2019,Edmonton Oilers,1,Chicago Blackhawks,3,,21260,2:25,
10/14/2019,Florida Panthers,6,New Jersey Devils,4,,13208,2:22,
10/14/2019,St. Louis Blues,2,New York Islanders,3,OT,10355,2:35,
10/14/2019,Minnesota Wild,2,Ottawa Senators,0,,11500,2:35,
10/14/2019,Colorado Avalanche,6,Washington Capitals,3,,18573,2:38,
10/15/2019,Philadelphia Flyers,1,Calgary Flames,3,,17771,2:32,
10/15/2019,Carolina Hurricanes,2,Los Angeles Kings,0,,14219,2:31,
10/15/2019,Tampa Bay Lightning,3,Montreal Canadiens,1,,20406,2:29,
10/15/2019,Minnesota Wild,2,Toronto Maple Leafs,4,,19149,2:26,
10/15/2019,Detroit Red Wings,1,Vancouver Canucks,5,,18183,,
10/15/2019,Nashville Predators,5,Vegas Golden Knights,2,,18188,2:31,
10/15/2019,Arizona Coyotes,4,Winnipeg Jets,2,,14764,2:24,
10/16/2019,Buffalo Sabres,2,Anaheim Ducks,5,,15193,3:00,
10/16/2019,Dallas Stars,2,Columbus Blue Jackets,3,,14683,2:29,
10/16/2019,Philadelphia Flyers,3,Edmonton Oilers,6,,17107,2:33,
10/16/2019,Colorado Avalanche,2,Pittsburgh Penguins,3,OT,18458,2:45,
10/16/2019,Carolina Hurricanes,2,San Jose Sharks,5,,15143,2:31,
10/16/2019,Toronto Maple Leafs,3,Washington Capitals,4,,18573,2:24,
10/17/2019,Nashville Predators,2,Arizona Coyotes,5,,13521,2:31,
10/17/2019,Tampa Bay Lightning,4,Boston Bruins,3,SO,17193,2:53,
10/17/2019,Detroit Red Wings,1,Calgary Flames,5,,18232,2:22,
10/17/2019,Buffalo Sabres,3,Los Angeles Kings,0,,17605,2:25,
10/17/2019,Minnesota Wild,0,Montreal Canadiens,4,,20419,2:29,
10/17/2019,New York Rangers,2,New Jersey Devils,5,,16514,3:21,
10/17/2019,Vancouver Canucks,4,St. Louis Blues,3,SO,18096,2:43,
10/17/2019,Ottawa Senators,2,Vegas Golden Knights,3,SO,18171,2:54,
10/17/2019,New York Islanders,3,Winnipeg Jets,1,,15063,2:28,
10/18/2019,Carolina Hurricanes,2,Anaheim Ducks,4,,14755,2:46,
10/18/2019,Columbus Blue Jackets,2,Chicago Blackhawks,3,OT,21518,2:23,
10/18/2019,Detroit Red Wings,1,Edmonton Oilers,2,,17420,2:19,
10/18/2019,Colorado Avalanche,5,Florida Panthers,4,OT,13382,2:29,
10/18/2019,Dallas Stars,2,Pittsburgh Penguins,4,,18482,2:23,
10/18/2019,New York Rangers,2,Washington Capitals,5,,18573,2:27,
10/19/2019,Ottawa Senators,2,Arizona Coyotes,5,,17125,2:27,
10/19/2019,New York Islanders,3,Columbus Blue Jackets,2,OT,15276,2:27,
10/19/2019,Calgary Flames,1,Los Angeles Kings,4,,18230,2:32,
10/19/2019,Vancouver Canucks,0,New Jersey Devils,1,,13818,2:49,
10/19/2019,Florida Panthers,3,Nashville Predators,2,SO,17534,2:33,
10/19/2019,Dallas Stars,4,Philadelphia Flyers,1,,18003,2:28,
10/19/2019,Vegas Golden Knights,3,Pittsburgh Penguins,0,,18610,2:29,
10/19/2019,Buffalo Sabres,4,San Jose Sharks,3,,17562,2:26,
10/19/2019,Montreal Canadiens,5,St. Louis Blues,2,,18096,2:24,
10/19/2019,Colorado Avalanche,6,Tampa Bay Lightning,2,,19092,2:34,
10/19/2019,Boston Bruins,3,Toronto Maple Leafs,4,OT,19394,2:29,
